layer_fraction,model_pair,model_a,model_b,layer_a_idx,layer_b_idx,cka_score,subspace_cosine_sim
0.0,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0,0,0.9998567700386047,1.0
0.0,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,0,0,0.9998568892478943,0.9999998211860657
0.0,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,0,0,0.9999998807907104,1.0
0.0,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,0,0,1.0,1.0
0.0,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,0,0,0.9965136647224426,1.0
0.0,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,0,0,0.9965137839317322,1.0
0.25,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,8,7,0.9999045729637146,0.9999998807907104
0.25,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,8,10,0.9999046325683594,0.9999998807907104
0.25,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,8,8,1.0,0.9999998211860657
0.25,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,7,10,1.0,1.0
0.25,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,7,8,0.9983855485916138,0.9999998807907104
0.25,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,10,8,0.9983856081962585,0.9999998807907104
0.5,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,16,14,0.999541699886322,1.0
0.5,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,16,20,0.999541699886322,1.0
0.5,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,16,16,1.0,0.9999998807907104
0.5,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,14,20,1.0,1.0
0.5,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,14,16,0.9987510442733765,1.0
0.5,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,20,16,0.9987510442733765,1.0
0.75,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,23,20,0.999859094619751,0.9999998807907104
0.75,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,23,31,0.9998590350151062,1.0
0.75,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,23,23,0.9999999403953552,0.9999998807907104
0.75,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,20,31,1.0000001192092896,1.0
0.75,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,20,23,0.9980040192604065,1.0
0.75,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,31,23,0.9980040192604065,0.9999998807907104
1.0,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,31,27,0.9998663067817688,0.9999998807907104
1.0,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,31,41,0.9998663067817688,0.9999998807907104
1.0,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,31,31,1.0,1.0
1.0,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,27,41,1.0,1.0
1.0,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,27,31,0.9996457695960999,0.9999998807907104
1.0,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,41,31,0.9996456503868103,0.9999998807907104
